Plot = 
{
	t00000 = "$mainActor$",
	t00033 = "Nỗi đau của hai người vì sao phải một mình ngươi gánh chịu, Xích Hà, ta nhớ ra rồi, ta nhớ ra tất cả chuyện trước đây rồi!",
	t00034 = "Mọi chuyện đã qua, cứ để theo gió mà đi, chuyện ở đây đã xong, từ đây chia tay!",
	t00035 = "Xích Hà——",
	t00036 = "Hỏi thế gian tình là chi, dù sao cũng không liên quan đến ta, <(c0xFF00FF00)$mainActor$>, chúng ta cũng đi thôi.",
	t00037 = "Dừng tay!!! Ta nguyện giao ra Vạn Niên Hàn Phách, xin đừng làm hại Vân Tiêu.",
	t00038 = "Băng Nhi, giao Hàn Phách ra ngươi sẽ chết đó! Mau về đi, có ta ở đây, bọn họ không làm hại được ngươi!",
	t00039 = "Vân Tiêu?! Ngươi chính là Vân Tiêu mất tích?! Sư phụ ngươi Trương Thiên Sư rất nhớ mong ngươi……",
	t00040 = "Sư phụ... vì sao lại thế này?! Băng Nhi hiền lành như vậy, chưa từng hại một ai, không có Vạn Niên Hàn Phách, nàng khó lòng sống nổi, các người vì sao lại ép buộc khổ sở như vậy?!",
	t00041 = "Cho dù bọn họ không đến lấy, cũng sẽ có người khác đến lấy, đây là số mệnh. Đã vậy, chi bằng để bọn họ lấy đi, ít ra cũng là vì bách tính thiên hạ.",
	t00042 = "Thôi vậy, các ngươi đi đi. Băng Nhi, ta sẽ luôn ở bên nàng. Phiền các ngươi nói với sư phụ, cứ coi như Vân Tiêu đã chết……",
	t00043 = "Huyên Nhi, đứa con đáng thương của ta, kiệt tác đắc ý nhất của ta, là con sao? Con cuối cùng cũng về rồi.",
	t00044 = "Viêm phụ, là con đây, con nhớ cha lắm.",
	t00045 = "Hừ, khí tức Hoàng Đế! Huyên Nhi, con vẫn chọn ở bên hắn, hắn hại con vẫn chưa đủ sao?",
	t00046 = "……Có lẽ, tất cả đều là số mệnh.",
	t00047 = "Số mệnh, lại là số mệnh chết tiệt, thiên đạo mờ mịt này rốt cuộc do ai làm chủ?! Thôi vậy, Xi Vưu sắp hồn quy, bách tính là trọng, ta sẽ không so đo, Huyên Nhi, nếu hắn có thể vượt qua thử thách của ta, ta sẽ tái tạo Hiên Viên Kiếm.",
	t00048 = "Huyên Nhi, thật an ủi khi thấy con mạnh mẽ hơn thượng cổ, cũng an ủi vì <(c0xFF00FF00)$mainActor$> vẫn có chỗ khác với hắn. Ta phải đi rồi, lần cuối giúp con tái tạo thân thể, nhưng chỉ vậy vẫn chưa đủ, con còn cần Lệ Ngàn Năm và Hồn Hắc Long, mới có thể hoàn toàn hồi sinh Hiên Viên Kiếm.",
	t00049 = "Vương thượng, yêu nữ làm loạn gây lũ lụt, thần dân của ngài lưu ly thất sở, ngài đều thấy cả rồi chứ?",
	t00050 = "Thanh Nhi, nàng có thể nói cho ta biết, tất cả rốt cuộc là vì sao không?",
	t00051 = "Vương thượng, thần thiếp...",
	t00052 = "Thanh Nhi, tỷ tỷ ở đây, không ai làm hại được muội! Nam Chiếu Vương, ngươi bị Bái Nguyệt mê hoặc, có biết Thanh Nhi không phải Xà Tộc, mà là hậu nhân Nữ Oa? Còn Bái Nguyệt trăm phương ngàn kế muốn hại chết nàng là vì thần huyết Nữ Oa trên người nàng?",
	t00053 = "Yêu nữ, ngươi đừng có nói bậy nói bạ!",
	t00054 = "Ha ha ha, Bái Nguyệt, ngươi tính toán hết mọi bề, có biết Thủy Linh Châu vốn là vật của Nữ Oa, tuy có thể giúp ngươi hợp nhất với Thủy Ma Quái, nhưng cũng vì vậy mà làm lộ âm mưu của ngươi?",
	t00055 = "Tố Trinh đột nhiên tụng niệm chú ngữ kỳ quái, chỉ thấy thân thể Bái Nguyệt xuất hiện biến hóa không ai ngờ tới……",
	t00056 = "Bái Nguyệt, ngươi giả vờ đi, cứ tiếp tục giả thanh cao giả cao nhân thế ngoại đi? Không ngờ bộ dạng xấu xí này không thể khôi phục lại, có phải nước mắt đầm đìa không?",
	t00057 = "A!!! Tố Trinh, <(c0xFF00FF00)$mainActor$>, các ngươi dám phá hỏng việc tốt của ta, đợi ta hoàn toàn hợp nhất với Thủy Thần Thú, nhất định sẽ khiến sinh linh Lôi Hạ Trạch diệt vong hết!",
	t00058 = "Ngươi lang thang thế gian không chịu phi thăng thiên khuyết, cũng không chịu trở về tổ đình, có biết, thời viễn cổ ngươi một cơn giận loạn Ký Châu vì nàng ấy, giờ nàng ở đâu không?",
	t00059 = "Nàng? Ngươi có tin tức của Liên Hoa? Mau nói cho ta biết nàng ở đâu, nếu không dù cùng là Long Tộc, ta cũng sẽ không tha cho ngươi!",
	t00060 = "Nàng nghe tin ngươi vì nàng mà gây loạn Ký Châu bị Nữ Oa chém chết, liền chờ hồn phách ngươi quay về cùng nàng luân hồi, không ngờ ngươi lại lang thang thế gian tìm chuyển kiếp của nàng, hai bên trông ngóng nhau, thật là oan nghiệt!",
	t00061 = "Liên Tinh, khổ cho ngươi rồi! Thôi vậy, thế gian ta đã không còn vướng bận gì, tàn hồn này của ta sẽ đến Luân Hồi Đài vậy.",
	t00062 = "Phàm nhân tu tiên đến một cảnh giới nhất định, ắt phải trải qua Thiên Kiếp, trải qua chín chín trùng kiếp, mới có cơ hội hóa thành Chân Tiên. <(c0xFF00FF00)$mainActor$>, ở đây ta không thể giúp ngươi, ngươi tự lo liệu, bảo trọng!",
	t00063 = "Chân long quấn khóa Thiên Kiếp Đài, thiên lôi giận dữ đánh người độ kiếp, nếu trong thời gian quy định không thể vượt qua sẽ độ kiếp thất bại. <(c0xFF00FF00)$mainActor$>, ở đây ta không thể giúp ngươi, ngươi tự lo liệu, bảo trọng!",
	t00064 = "Huyên Nhi không cần lo lắng, ta nhất định sẽ độ kiếp trở về!",
	t00065 = "Linh Căn là căn bản của người tu tiên, Linh Căn khai khiếu, tu hành sẽ tiến bộ vượt bậc, nhưng phải <(c0xFF00FF00)đả tọa> hấp thụ lượng lớn <(c0xFF00FF00)Linh Khí> thiên địa mới có thể kích phát tiềm lực chứa trong Linh Căn.",
	t00066 = "Không biết Linh Căn mà Chỉ Vân cô nương nói nên khai khiếu thế nào?",
	t00067 = "<(c0xFF00FF00)$mainActor$>, nay Tu Vi của ngươi đã đủ để mở Linh Căn, nhấn <(c0xFF00FF00)【C】> mở giao diện thuộc tính nhân vật, chọn <(c0xFF00FF00)【Linh Căn】>, nếu Linh Khí thiên địa hấp thụ được từ đả tọa đủ, sẽ có thể kích hoạt Linh Căn.",
    t00068 = "Đây là... ta cảm nhận được một luồng khí tức quen thuộc, chỉ là, Ma Tộc ở đây nhiều quá, thật đáng ghét!",
	t00069 = "Khí tức quen thuộc? Khí tức gì?",
	t00070 = "Đúng vậy, các ngươi cũng cảm nhận được rồi. Đó là khí tức của thần khí thượng cổ Nữ Oa Thạch, cất giấu ở Hạo Thiên Điện, Huyên Nhi là kiếm linh Hiên Viên, giữa các thần khí cảm ứng rất nhạy. Chỉ là, Hạo Thiên Điện hiện nay đã bị Ma Tộc chiếm đóng……",
	t00071 = "Đã vậy, ta sẽ quét sạch lũ tà ma này, lấy lại thần khí thượng cổ.",
	t00072 = "Nữ Oa Thạch, ngươi cuối cùng cũng có thể thấy lại ánh sáng ban ngày!",
	t00073 = "Ngươi... ngươi... ta nhớ ra rồi, ngươi là chị Linh, chị Linh, còn nhớ ta không? Ta là Huyên Nhi……",
	t00074 = "Chị Linh? (mặt đầy ngây thơ)",
	t00075 = "Để ta giải thích, khi đại chiến thượng cổ, mười đại thần khí thượng cổ tụ hội, mỗi cái phân hóa ra một tia linh thức, hình thành nên ta, mọi người đều gọi ta là Linh, lúc đó, mười đại thần khí do ta khống chế, chính là linh hồn của mười đại thần khí.",
	t00076 = "Rồi sao nữa? (vẫn mặt đầy ngây thơ……)",
	t00077 = "Sau đại chiến thượng cổ, Cổ Ma Giới cuối cùng bị phong ấn, còn mười đại thần khí thì cái thì hư hỏng, cái thì mất hết Linh Khí, tứ tán khó tìm, còn ta, đành dựa vào ký ức linh hồn yếu ớt, chuẩn bị tụ hội lại mười đại thần khí……",
	t00078 = "Rồi sau đó nữa? (biểu cảm ngây thơ đã không thể bỏ xuống được nữa……)",
	t00079 = "Hiên Viên Kiếm ngươi đang cầm, cũng là thần khí thượng cổ, tương đối dễ tìm được đồng loại, vì vậy, ta liền tìm đến ngươi, thử thách tâm tính và tu vi của ngươi, không phụ kỳ vọng của ta, ngươi cuối cùng cũng tìm được Nữ Oa Thạch.",
	t00080 = "Tuy Nữ Oa Thạch hư hỏng khá nặng, nhưng ta có thể sửa chữa nó, ngươi cứ cất đi, sau khi về Thiên Nguyên Thành, ta sẽ bảo ngươi tìm một số nguyên liệu để sửa chữa thần khí.",
	t00081 = "Nữ tử bí ẩn thi triển pháp chú, trước mắt ngươi bắt đầu xuất hiện ảo ảnh, một người mặc giáp băng đâm chết một nữ tử. Khi nữ tử ngã xuống, đầu quay lại, dùng ánh mắt bi thương nhìn ngươi……",
	t00085 = "Ngươi cuối cùng cũng nhớ lại đủ loại chuyện kiếp trước, lúc giao chiến với Thiên Nhưỡng Kiếp Ma, thanh mai trúc mã của ngươi vì bảo vệ ngươi mà bị đâm chết, rơi vào điên cuồng, ngươi cuối cùng nhập ma.",
	t00086 = "Ta nhớ ra tất cả rồi. Nói cho ta biết, sau đó thế nào rồi? Thiên Nhưỡng Kiếp Ma đã nhận được kết cục đáng có chưa?",
	t00087 = "Sau khi ngươi nhập ma, tàn sát khắp nơi, bị đồng môn liên thủ tiêu diệt. Còn Thiên Nhưỡng Kiếp Ma, sau đó hắn bị Tiên Minh liên thủ phong ấn ở Trấn Yêu Tháp.",
	t00088 = "Thù kiếp trước, ta không thể buông bỏ. Ta sẽ đến Trấn Yêu Tháp tiêu diệt Thiên Nhưỡng Kiếp Ma.",
	t00089 = "Trấn Yêu Tháp tụ hội lượng lớn tà ma chi lực, ngươi hiện đã cận kề giai đoạn nhập ma rồi. Hy vọng ngươi có thể suy nghĩ kỹ trước khi hành động.",
	t00090 = "Huyên Nhi không cần nói nhiều nữa, tâm ý ta đã quyết.",
	t00091 = "Trong Trấn Yêu Tháp nhận được nhiều bí kíp Ma Tộc như vậy, tâm ma của ngươi cũng từng bước lún sâu càng ngày càng nhiều.",
	t00092 = "Huyên Nhi, ta không sao. Các ngươi thấy ta ngày càng nhập ma, nhưng ta đã lĩnh ngộ được rồi. Bàn Cổ sơ khai, vốn không thần không ma, thần và ma chỉ là do người định ra, chỉ cần giữ được thiện niệm, ma đạo cũng là chính nghĩa chi đạo!",
	t00093 = "Những đạo lý lớn này Huyên Nhi không hiểu. Huyên Nhi chỉ biết trảm yêu trừ ma.",
	t00094 = "Giống như lợi kiếm, có thể giết người, cũng có thể cứu người. Huyên Nhi yên tâm, ta đã không sao rồi. Tiếp theo chính là tiêu diệt tên Thiên Nhưỡng Kiếp Ma đó.",
	t00095 = "Hì hì hì, các ngươi thật ngây thơ, tưởng chỉ vậy là có thể đánh bại ta sao?",
	t00096 = "Chẳng lẽ ngươi còn có thủ đoạn khác?",
	t00097 = "Ngươi đừng tưởng ngươi đã nắm được tinh túy của bí kíp ma đạo. Những năm qua, ta ở trong Trấn Yêu Tháp đã tu luyện được ma chú thiên địa hợp nhất, có thể khiến thực lực bản thân tăng gấp bội, xem Đại Pháp Bá Thể Thiên Ma của ta!",
	t00098 = "Khí thế mạnh quá, chiến lực của hắn chắc chắn tính bằng vạn.",
	t00099 = "Huyên Nhi đừng có dài chí người khác diệt oai phong mình như vậy được không.",
}
